NetworkType,Lambda,NodeID,Throughput_Mbps,Delay_s,TxPackets,RxPackets,LostPackets,DeliveryRatio,Configured_Load,Effective_Load
AdHoc,0,0,0,0,0,0,0,0,5,0
AdHoc,0,1,0,0,0,0,0,0,5,0
AdHoc,0,2,0,0,0,0,0,0,5,0
AdHoc,0,3,0,0,0,0,0,0,5,0
AdHoc,0,4,0,0,0,0,0,0,5,0
AdHoc,0,5,0,0,0,0,0,0,5,0
AdHoc,0,6,0,0,0,0,0,0,5,0
AdHoc,0,7,0,0,0,0,0,0,5,0
AdHoc,0,8,0,0,0,0,0,0,5,0
AdHoc,1,0,0,0,0,0,0,0,5,5
AdHoc,1,1,0.0112464,0.000170329,99,99,0,1,5,5
AdHoc,1,2,0.0111328,0.000109612,98,98,0,1,5,5
AdHoc,1,3,0.0110192,0.000120741,97,97,0,1,5,5
AdHoc,1,4,0.0110192,0.000202566,97,97,0,1,5,5
AdHoc,1,5,0.0110192,0.000182977,97,97,0,1,5,5
AdHoc,1,6,0.0110192,0.000120497,97,97,0,1,5,5
AdHoc,1,7,0.0109056,0.00017359,96,96,0,1,5,5
AdHoc,1,8,0.0109056,0.000131735,96,96,0,1,5,5
AdHoc,2,0,0,0,0,0,0,0,5,10
AdHoc,2,1,0.0224928,0.000151943,198,198,0,1,5,10
AdHoc,2,2,0.0223792,0.000111504,197,197,0,1,5,10
AdHoc,2,3,0.0223792,0.000151614,197,197,0,1,5,10
AdHoc,2,4,0.022152,0.000152491,195,195,0,1,5,10
AdHoc,2,5,0.0220384,0.000121831,194,194,0,1,5,10
AdHoc,2,6,0.0220384,0.000127116,194,194,0,1,5,10
AdHoc,2,7,0.0219248,0.000121737,193,193,0,1,5,10
AdHoc,2,8,0.0218112,0.000111471,192,192,0,1,5,10
AdHoc,3,0,0,0,0,0,0,0,5,15
AdHoc,3,1,0.0336256,0.000121722,296,296,0,1,5,15
AdHoc,3,2,0.033512,0.000135531,295,295,0,1,5,15
AdHoc,3,3,0.0331712,0.000125366,292,292,0,1,5,15
AdHoc,3,4,0.0330576,0.000125353,291,291,0,1,5,15
AdHoc,3,5,0.0327168,0.000115601,288,288,0,1,5,15
AdHoc,3,6,0.0326032,0.000136494,287,287,0,1,5,15
AdHoc,3,7,0.0326032,0.000104947,287,287,0,1,5,15
AdHoc,3,8,0.0326032,0.000127853,287,287,0,1,5,15
